사건번호,파일명
2006가합5691,147054.json
2018다288631,219793.json
2005가합112203,136515.json
2012다94155,171031.json
2016다245197,195455.json
2020다240021,220433.json
2004다65121,216553.json
2002다56628,82300.json
2011다38417,176253.json
2000다60227,80277.json
2021다250735,237645.json
2007나78588,71102.json
2021나2036470,222219.json
2013나332,172673.json
2011다15292,160455.json
2009다12528,154385.json
2010다21276,144853.json
2005다11954,69264.json
99나3516,120967.json
2010나120434,164814.json
2015다69907,194235.json
2017다202050,215425.json
2022다268771,239595.json
2008가합2136,130660.json
2013다22553,192353.json
2010가합104084,186654.json
2005다5867,216413.json
2004가합6698,210267.json
2009다15596,150885.json
2001가합71687,71607.json
2004나9327,77530.json
2015다55397,182984.json
2017다283028,194897.json
2000다35955,80539.json
2010다59660,164791.json
2007다55866,144857.json
2018다275253,219549.json
2005다16034,85383.json
98다1072,116859.json
2019다266638,237641.json
2018다247715,239635.json
2009다21096,141470.json
2019다278341,240267.json
2004다22742,84135.json
2010다29454,159897.json
2010다55699,147466.json
2017다51603,226649.json
98다7001,196184.json
2001나10373,192845.json
2001나3122,71455.json
2018가단226347,208476.json
2011다80968,165576.json
2003다57956,83239.json
2010나47706,192382.json
2007다9139,143847.json
2005다58830,69067.json
2001다9496,80850.json
99나10211,71358.json
2016다236131,208848.json
2000가합860,212325.json
2012다46644,173609.json
2022나2045303,238173.json
99다38583,191531.json
2009다79316,215593.json
2005다58823,85533.json
97다58477,195065.json
98다9038,190342.json
2008다19720,65100.json
99다72521,191654.json
2007가단7153,146353.json
2021다309712,235505.json
2006다21002,194109.json
2000다1976,191829.json
2010가합21234,167097.json
2005가합89839,70632.json
2010다54566,165179.json
2016다210474,216845.json
2011다69770,169580.json
2022다210000,239539.json
98다8172,196268.json
2002다72125,194600.json
2005다25298,216289.json
2010다28604,163906.json
2010다3162,168343.json
2000다57856,191370.json
2008가단13531,133478.json
99다51685,229677.json
2004다53173,83998.json
2011다53164,163564.json
2009가합13300,168211.json
2013다78372,176254.json
2011다221,173934.json
2017나13822,205616.json
2006다16215,135830.json
2001다68990,82396.json
2000다41424,145339.json
2009다33754,162635.json
2012다105482,182863.json
2019나20741,226445.json
2006나95159,145376.json
2000다17469,229117.json
2011다54709,158789.json
2003다52142,84396.json
2011가합15764,186655.json
2016가단45804,185599.json
2014다37491,175453.json
2018다237183,205720.json
2012다18762,193193.json
2010다24534,187235.json
2006다35865,126092.json
2009가합15740,158451.json
2013다29448,187494.json
2015다39357,183398.json
2000나13597,71449.json
2018다212245,226591.json
98다61395,117607.json
2005다65494,210335.json
2000다42540,81559.json
2000나36738,71444.json
96다17257,116873.json
2014다231378,178017.json
2006다17553,172027.json
2015가단5324874,183477.json
2005가단131008,70936.json
2004다24144,68110.json
2018다27539,237025.json
2017다219232,234583.json
2015다45420,206327.json
2015다254231,213723.json
2011가합733,160202.json
2002다54479,194692.json
2003다24499,83653.json
2012가단93143,168274.json
99다55434,191188.json
2005나102241,78942.json
98다3757,118014.json
2015가단3104,183315.json
2013다59081,176258.json
2016나55042,221795.json
2019다271661,223845.json
2017다213838,185260.json
2021다269722,231499.json
2010다18829,146665.json
2015가합579935,193359.json
2002가합15080,69605.json
2005다65562,216117.json
2004다62955,84824.json
99다19346,117909.json
2013다85172,183991.json
2002나8767,212157.json
2017가합202415,209331.json
2021나2009331,220267.json
2017다37096,235247.json
2008다20751,136201.json
2019다266751,217389.json
2001다27777,81663.json
2010다8365,143970.json
2001다47757,192650.json
2003다63968,83656.json
2024다229343,241235.json
2011다77917,167237.json
2004다4638,67348.json
2013나2514,175114.json
2010다6680,158627.json
2004나4920,77872.json
2004다3598,84573.json
2011다38219,176472.json
2021다202903,234333.json
2009나63924,169726.json
2014다233190,187670.json
2011가합9260,166209.json
2007가합2569,70939.json
2005다7085,68991.json
98다41377,117603.json
2017나2037841,205607.json
2007다20266,124952.json
2007다26455,68896.json
2007다83991,160435.json
2020다294806,219159.json
2003가합1176,70512.json
2021나2010140,219349.json
97가합37239,120832.json
99다31667,118091.json
2019다38543,239723.json
2005다72485,68932.json
98다16203,117613.json
2003다52227,83552.json
2019다279788,239271.json
2003가합6198,70739.json
2009다95714,143375.json
2006다18228,64763.json
2006다913,69206.json
2008다59674,142105.json
2022가단5093918,234947.json
2010나114255,159867.json
2007다13985,64895.json
2019다202146,227709.json
2011다25695,166730.json
2013다23914,179724.json
2009나64651,146876.json
2018다217974,214369.json
2019가합574167,214521.json
99다47297,229981.json
2007다3162,146596.json
2011다109531,172718.json
2001다70337,83410.json
2006나92006,70990.json
99다10714,117817.json
2012가단531,172794.json
2022다265994,238033.json
2004다24212,67328.json
2014가합8442,179933.json
2015다235766,184376.json
2011다21143,154368.json
2007다51703,133439.json
2018다41986,235099.json
2019다246573,226255.json
2005다63337,216291.json
2010다39277,164781.json
2008나18502,140693.json
2004다69291,67572.json
2010가합4536,172203.json
2017다14895,225749.json
2018다213811,212679.json
2009가합17586,143053.json
2017가단10716,209639.json
97가합7863,120834.json
2013다217962,177716.json
2016두60287,204343.json
2005다73914,69160.json
2020다282513,220025.json
2013다40681,179742.json
2006다24872,127780.json
2003가합66177,70563.json
2017다286003,218981.json
2013다66904,177482.json
98다12812,117051.json
2022다219427,238639.json
2007다90647,85743.json
2007다68862,141461.json
2000다9437,191109.json
2015가합263,179102.json
2018다275888,216667.json
2014다46211,192586.json
2008다7895,145477.json
2000다12532,191154.json
2022가합50780,241421.json
97다58316,196288.json
2018다248183,219167.json
2004가합5723,168184.json
2008다61615,215711.json
2023다230476,237591.json
2002다63275,194577.json
97다30066,229871.json
2022다306185,236461.json
99가단22374,212189.json
2010다103185,167838.json
2013다202526,174123.json
2007나4288,164902.json
2004다53197,85278.json
2005다44060,68697.json
2000다21802,191879.json
2022다281378,242007.json
2003나80743,78038.json
2001다33918,209785.json
2019다208687,215161.json
2021다279347,221751.json
2017다226704,233029.json
2022가단53691,239983.json
99다23550,117924.json
2006다65620,68827.json
2013가합23924,174955.json
2020가단5110659,234427.json
2000다56952,194683.json
2006가합3577,158736.json
2014가합25815,178220.json
2010다102755,167078.json
2013다209831,177479.json
2011다26964,170798.json
99가합8967,212347.json
2010다92346,168941.json
2001가합9179,71613.json
96다11440,116980.json
98다2617,196180.json
2009다101824,150052.json
2004다44506,137762.json
2010다95635,164198.json
2006다45275,69433.json
2003가합9188,70139.json
2017다256910,207580.json
2008가합21566,164097.json
2000다22850,194363.json
2017다200702,218451.json
2000다7301,194730.json
2001다26774,191725.json
98다52469,117454.json
2007가합85190,138878.json
2013다203529,171938.json
2011가합6234,160216.json
2005나60019,70346.json
2007가합95425,164785.json
2011다108057,172441.json
98다64301,211091.json
98다33161,229685.json
2005다16775,85384.json
2004가합13699,70284.json
2019다208021,240879.json
2014다227225,177603.json
98다21403,190302.json
2001다3788,80487.json
2022다208649,238925.json
2020다236848,237947.json
2011다57869,192209.json
2005가단272511,168201.json
2008다42836,64456.json
2005가단12610,70138.json
2010다94960,162510.json
2005다3229,69066.json
2010다53419,150830.json
2012다87263,173153.json
2009다37886,142827.json
2016다220099,204775.json
2007다52317,85416.json
2004다40290,67433.json
2009다62608,159833.json
2001다53059,194584.json
2003가합13044,69915.json
2017다56455,211723.json
2015다68348,199864.json
2003다6873,83103.json
2011다2142,170958.json
2008다94585,140471.json
99다48979,81519.json
2011다40397,171965.json
2008나20065,160714.json
2013가합30895,179085.json
2005다69458,69244.json
2002가합5868,70479.json
98다24624,117141.json
2015다221309,235293.json
2009다88617,143377.json
2012다55082,168337.json
99나457,120966.json
2007다66590,125010.json
2000다32437,82424.json
2012다46910,171917.json
2024다226504,600415.json
2018다44114,216851.json
2002가합32672,71649.json
2002나13140,69507.json
2021다270654,240829.json
2004가단66039,210183.json
2013다200568,171142.json
2004다71881,193775.json
2002다64384,82697.json
2002다34581,81882.json
2000다46511,81564.json
2010다72410,149162.json
2007가단145338,124920.json
2012가단16763,166223.json
2002다42322,194398.json
2009가합3769,142051.json
2001다82507,127014.json
2016다236285,184542.json
99다58136,194757.json
2008다12439,131269.json
2018다233686,210569.json
2002다48443,82053.json
2008다56118,124982.json
2004다13823,145343.json
2003드합8510,69689.json
2012다4138,209217.json
2008나6950,65017.json
2007다83908,136519.json
2007다18959,69138.json
2008다82582,142805.json
2018가합111367,208477.json
2012다37251,187237.json
2000다41653,82286.json
2020다208997,222713.json
2006다21880,215897.json
2010가합11521,160657.json
2007나4650,70887.json
98다29797,79152.json
2001다61753,191839.json
2019다261558,240739.json
2010다65757,171988.json
2018나2068927,211637.json
99다44588,190379.json
2008다1576,69340.json
2003다19206,209729.json
2006다30440,125456.json
2017가단5243733,214713.json
2008가단388929,140297.json
2010가합22966,158471.json
2011다10266,158548.json
99나5810,71385.json
2006다42818,135832.json
2006다28430,146240.json
2011가합60365,164076.json
2008다51571,147360.json
2018나10660,207134.json
2008다60162,133424.json
2010다19990,146234.json
97다49404,116769.json
2003다61382,67686.json
2005다63634,67858.json
2000나6000,212255.json
2005다29474,193862.json
2011다60247,171816.json
97가합8308,120596.json
2010다9320,162639.json
2013다65178,171618.json
2018다262967,219157.json
2020다294516,219769.json
2008다12491,128038.json
2010다95390,163149.json
2009다51288,215749.json
2021다265010,219331.json
2010다103451,154366.json
