사건번호,파일명
2009다54638,160405.json
2006다19832,124866.json
2018다223214,206347.json
2000다55126,194716.json
2001다47290,191675.json
2012다31734,170699.json
2008다14633,157935.json
2005다75071,85647.json
2010다29201,147361.json
2004다2342,68219.json
2001다59842,126454.json
2006다60908,125305.json
2009다29366,149342.json
2000다59920,191266.json
2015다247912,192969.json
2001다44338,81708.json
2008다40847,124980.json
2013다34013,184396.json
2005다31194,68045.json
99다66410,191426.json
2004가합816,69821.json
2016다43872,207594.json
98다9205,117058.json
2013다207088,173924.json
2003다69652,68283.json
2016다261250,225309.json
2018다214142,207581.json
2013다213038,172717.json
98다50340,190902.json
2019다272855,222623.json
2009다82060,157917.json
2010나17040,149295.json
2023다248903,238927.json
2008다60971,150856.json
99다35737,230105.json
2019나2036194,226013.json
2014다61654,204189.json
2008가합26127,138186.json
2004가합16109,70352.json
2005다55299,85076.json
2010다65399,165592.json
2022다303995,238661.json
2010다20563,146242.json
2019다294824,211295.json
2018다224408,231451.json
2015다23024,182988.json
2004나8508,144256.json
2006다81325,138671.json
2007다10627,192376.json
2019다216312,210829.json
2006나109669,146355.json
2013다45457,193179.json
2010다13107,157311.json
2005다31316,85406.json
2007다60080,85446.json
2004가단23419,70083.json
2022다264434,233041.json
2013다97076,175061.json
2019다230721,235353.json
99다47129,229459.json
2010다92438,187491.json
2017다203596,204501.json
2009다98669,144522.json
2012다7199,177484.json
2000다24894,194714.json
2013가합32048,175113.json
2005나12107,70449.json
2017다249929,238915.json
2017나13464,205613.json
99다30718,191367.json
2020다206564,219153.json
2007나92423,141874.json
2012다23320,192451.json
2002다72194,126559.json
2004다11162,216443.json
98다55154,600901.json
2015다246810,204578.json
2009다99105,143818.json
2016다203735,187836.json
2005다23599,216347.json
98다11529,190301.json
2001다73879,81313.json
2023다280358,241887.json
2005나23133,70348.json
2012가합27693,171420.json
2015다69853,204194.json
2006다22494,85691.json
2002다35089,194785.json
2016다205908,201274.json
2004다54626,68646.json
2022다307379,600499.json
2020다209150,231465.json
2000다46795,191342.json
2011다29666,169040.json
2002다23598,82043.json
2000다46894,80315.json
2008나5805,148356.json
2008가합20578,139109.json
2009다65416,160051.json
2013다30653,172438.json
2012다110521,173935.json
2004다12240,68220.json
2004다4942,143404.json
2022다263448,239611.json
2019다208724,239461.json
2005가합76888,70598.json
99다7008,195056.json
98다58825,117722.json
2010나24017,161854.json
2016다258148,204473.json
2004다26256,85464.json
2008다18376,85795.json
2018다301336,211321.json
2007다48370,69064.json
2012다54997,173272.json
2004가합9444,70084.json
96다42789,116906.json
2016다35802,203033.json
99다47396,81406.json
2012다6851,178729.json
2000다46184,81901.json
2011가합10872,158761.json
2001가합6223,212367.json
2002다14242,83129.json
2005다47106,85534.json
2001다81320,83651.json
2019다202153,237077.json
2011다49936,174129.json
97다57689,116715.json
2018다224491,218985.json
2004나56501,78060.json
97가합57042,120829.json
2011다13241,160413.json
2018다300364,232021.json
2009다82244,215665.json
2002다63558,194462.json
2009다31550,142507.json
2003다14195,194553.json
2005다44114,85165.json
2007나53442,147137.json
2001가합2691,71608.json
2006다79520,144235.json
2012나1031,166189.json
2010다79947,166766.json
2007가합5338,70966.json
2013다215843,175436.json
2013다61381,204201.json
2004다60447,68319.json
99가합5187,190212.json
2016다248806,184813.json
2006다20580,216163.json
2024나2020629,600495.json
2010가합8446,237003.json
2005다41771,69242.json
2003나8747,69891.json
2010다32078,164573.json
99다12796,194930.json
2001다42677,191825.json
2009다73332,143632.json
2019다293814,223381.json
98가합12955,120837.json
2012다74342,192591.json
2006다6713,85514.json
98다34126,117174.json
2009다5643,144515.json
2006가합89942,142696.json
2011다5578,192448.json
2009가합22429,143909.json
2004다54282,126218.json
2016다226516,220023.json
2001다76250,81871.json
2003다20190,194346.json
2014다220798,208415.json
99가합21947,71601.json
97다15104,190370.json
2012나1478,167341.json
2005가합20616,70828.json
2000다37647,194652.json
2007가합1401,70835.json
2006가단52265,64821.json
2013다83428,182366.json
2010다7577,149632.json
2010나14328,150860.json
2005다22404,68767.json
2000다560,229227.json
2005다11688,68321.json
2001다27722,67136.json
2005가합111743,70564.json
2008가합105251,141539.json
2009다72599,154217.json
2008가합4236,143156.json
2023다220790,601355.json
2017다242232,223839.json
2011다2517,159883.json
2011다83189,165559.json
2007다42907,150053.json
2010다4332,149868.json
2016다35352,204882.json
2001다52889,191727.json
2009나12971,144473.json
2004다21053,84273.json
2010가합10002,148864.json
2010다57473,170370.json
2016다253297,192741.json
2007다16113,85170.json
2005다8262,69209.json
2005나5638,70423.json
2008다63192,133425.json
2001다22833,191539.json
2023다283401,605333.json
2007다2848,68743.json
2005다31033,68614.json
2016다276719,207100.json
2007나83733,139655.json
2007다43580,124892.json
2020다213364,219365.json
2018나1299,205664.json
2005다56186,67880.json
98다32045,117207.json
2001나4011,71534.json
2007가단37506,139105.json
2006가합17398,70481.json
2020다292671,238031.json
2005다56957,68394.json
2011가합71280,163584.json
2010다53754,146744.json
2016가단106172,185530.json
2002다65516,194625.json
2001다79068,194526.json
2011가합1439,158786.json
2005다64774,68856.json
2016나2087313,184651.json
2004가합225,69890.json
2007가합3553,125218.json
2010나3179,146630.json
2009다66549,182318.json
96다11648,116725.json
2015가합566908,183479.json
2011가합7397,167375.json
99다39548,79193.json
2023다33,240885.json
2020다201422,241099.json
2007다20112,192349.json
2002나32662,171356.json
2013다71098,187883.json
2016다211606,226703.json
98나1249,71196.json
2022다260586,233883.json
2019다17485,240883.json
2005다57752,84908.json
2018다263434,220241.json
99다40524,230111.json
2001다2129,194654.json
2008다15865,146175.json
2010나74524,149861.json
2012다91262,171982.json
2011다3268,159850.json
2001나15417,71527.json
2008나13613,125213.json
2019가소490120,210927.json
2021다262905,234641.json
2016다271608,205700.json
2008다74895,125899.json
2000다63639,83052.json
2013다10383,172998.json
2008가합50528,125206.json
2007다52294,85794.json
98다39602,211185.json
2001다68358,194384.json
2002다46423,83549.json
2005가합172,70355.json
2004다6122,68572.json
2016다33196,204219.json
2003다5061,82461.json
2008가합6994,125205.json
98다19011,195148.json
2008다77771,134329.json
2006다79742,68536.json
2010가합2484,149298.json
2008다27769,127772.json
2000가단281,212301.json
2007가합5940,127736.json
2021가합209861,222821.json
2002다10585,81517.json
2010다8709,163572.json
2016다249557,185165.json
2005나85834,142958.json
2005가단109544,70681.json
2003가합50349,69604.json
2003다4068,209747.json
2011가단18727,165163.json
2006다78640,85026.json
2000가합822,212299.json
98가합59458,120831.json
2004다61402,215945.json
2008가단23466,136167.json
2004다30170,84851.json
2018다298799,219693.json
98다46747,211131.json
2017가합548157,209627.json
2016다212272,197597.json
2001다67164,83371.json
2005가합88966,70571.json
2010다77293,167271.json
2005다40907,85418.json
2022다211089,221977.json
99다40548,229917.json
2012다2392,173006.json
2009다88303,163904.json
2004나12530,78112.json
2015가합45188,184316.json
2008다3619,143703.json
97가합21049,222145.json
2018가합567582,218375.json
2013다14903,172046.json
98다26859,192447.json
2006가합52285,70860.json
2005가합6082,70505.json
2021다213316,237879.json
2005가합15235,70592.json
2007나11033,128273.json
96다11327,116979.json
2005다46790,84398.json
2011나474,216049.json
2013다74837,209252.json
2009가합2913,140317.json
2008나13058,130662.json
2017다269374,204889.json
2011나6848,158784.json
99다748,195091.json
2006나8641,70733.json
2005다47014,84275.json
2012다41069,177845.json
2007다83755,69371.json
99나39205,71207.json
2006다70929,69330.json
2011나9792,164800.json
2014다49241,179727.json
2011다42348,171331.json
2010다41386,146326.json
99다70945,191340.json
2002다12659,67833.json
2018다241403,205730.json
2021나2003166,228351.json
2011다85352,172231.json
2009다79729,215475.json
2024다233908,605179.json
2020다290590,219467.json
2005다25021,85279.json
97므18,116918.json
2019다215791,221747.json
2007다50663,64943.json
2015다8902,207541.json
2012다204747,172036.json
2020다268760,220349.json
2009나2218,140844.json
2006다36905,69269.json
2009다80026,143894.json
2000다22249,81658.json
2007다64877,142302.json
2002가합4379,69580.json
2008다13838,141482.json
2020다226452,235465.json
2017다239311,207490.json
2008다77795,146176.json
2012다69654,168232.json
2012가합9912,170892.json
2018다221676,214337.json
2009다80521,158542.json
98다35327,230061.json
2012다100395,177514.json
2010다96997,157905.json
2019가단511036,225959.json
2004다26805,216611.json
2000나2979,71372.json
2012다30892,167328.json
98다60484,195078.json
2000다14613,194698.json
98나22989,165654.json
2004나17634,70011.json
2004나3445,70106.json
2003다20183,68286.json
2008다53805,124901.json
2006다32354,138825.json
2019다276307,216653.json
2001다56904,82200.json
2004다34929,67626.json
2003다5535,83751.json
98가합14579,120957.json
97다29424,116775.json
2012다53048,175594.json
2022다261299,239641.json
2008다22030,143695.json
2018다290672,216803.json
2012다13569,167276.json
2007나85890,146387.json
2022다226104,235415.json
99다40418,191465.json
2018나58570,207132.json
98다48934,229089.json
99다31407,190347.json
2018나319335,208902.json
2006나43790,70600.json
2005다75897,84424.json
2001다29001,80774.json
2006다46094,69443.json
2018다239455,226275.json
2009다99594,145151.json
2013다67587,206325.json
98나15377,120708.json
2003다15501,67859.json
2005가합29820,70506.json
98다31356,211107.json
2018다287362,207140.json
2009다101343,145102.json
2012나39181,190761.json
2009나97606,143475.json
98가합15904,120835.json
2012다111661,172616.json
2013가합521666,179180.json
2022다270989,600409.json
2006다78336,68738.json
2007가합3334,70983.json
2013다75830,178734.json
2011다36091,158540.json
2017다276679,225455.json
99다68829,80983.json
98나9276,221499.json
2006가합14470,140825.json
2013다41431,178114.json
2022가단12839,240689.json
2018나29933,208887.json
2005다49270,69211.json
2005가합9352,78957.json
99다65035,216033.json
2020다242935,237195.json
2008다97218,146168.json
99다34499,79062.json
2005나99987,78869.json
2008다38288,146571.json
2005다75002,600659.json
2007다31518,64594.json
2010가합3689,147677.json
2016다6293,186501.json
99다3709,117764.json
2009다19864,148194.json
2021다201184,234721.json
2013다65710,175522.json
2023다269399,240871.json
2017다202166,186371.json
2000다69194,600879.json
2007가합16095,70791.json
2007다26240,68832.json
2022가합203334,234625.json
2007다85973,69275.json
2011다42270,165556.json
2010다77538,167443.json
2006다82625,85023.json
2019다301029,241363.json
2005가합32369,228039.json
2000다16237,81463.json
2014다67614,182492.json
2002다55304,82907.json
2006다85662,68699.json
2003다6774,193877.json
2009다76546,160234.json
2010다18850,157076.json
2008다21518,64913.json
2002다63572,83102.json
2014다207283,177876.json
2013가합23230,172357.json
2007나56380,65018.json
2024다267994,599609.json
2004다20807,161172.json
2003다64602,83445.json
98다22857,117756.json
2021다275741,219937.json
2010나20442,150835.json
2015다241228,184413.json
2013나79810,175318.json
2001다27449,81196.json
2008다48490,128003.json
2018다20866,239719.json
2005다8125,83945.json
2013가단9021,177956.json
2018다228486,217365.json
97다12082,195188.json
2015다238963,184529.json
2018다291958,225093.json
2004다17993,68213.json
2000다72404,81310.json
2012다29373,175506.json
99다12932,117919.json
2007다21856,85255.json
2002다5019,81570.json
2009다105062,147820.json
98다9915,211081.json
2006가단996,70541.json
97가합501,120827.json
2009나22265,141541.json
99가합42730,212351.json
99다67192,191134.json
2011다60780,177688.json
2018다232980,232951.json
2022다302206,241121.json
2001나11385,71469.json
99다61316,191219.json
2014가합525054,214507.json
98다38661,195280.json
2004다38907,68573.json
2014다82385,183030.json
2017다282438,210423.json
2003다66066,84133.json
2009다77754,166369.json
2002가단23361,69910.json
2000다68306,81510.json
2000다50213,81506.json
98다11635,116724.json
96다27469,196230.json
2024다250729,605047.json
2017다203763,205368.json
2019다260395,225929.json
99다50538,230151.json
2022다211393,235443.json
2022다230677,234775.json
2021다300791,221997.json
98다57099,81409.json
2015나473,179179.json
2000다30240,190938.json
2006다5550,128035.json
2022다200768,220841.json
2002다35850,82296.json
2001다72678,82149.json
2005다21029,68354.json
2001가합48625,70392.json
2008다24494,143355.json
98다50586,230175.json
2013다201844,172051.json
99다1789,195093.json
2013다205624,172630.json
2002나9509,69533.json
2016나49464,185853.json
2012다49933,175097.json
2016다267920,185114.json
2017다245279,226707.json
2013다23211,171951.json
2004가합67627,70419.json
2004다2366,83582.json
2001다74353,81314.json
2011므2997,187514.json
2000다32840,220899.json
2005나771,78513.json
98가합4756,223575.json
2017다256200,237081.json
2007다7751,85630.json
2009다82831,215683.json
2003다29036,209731.json
2011나101980,172104.json
2014가합62810,185529.json
2015다219030,206342.json
96다24668,116679.json
2012다203652,172300.json
2013다2504,171426.json
2002가합11918,69541.json
2002가합1449,69625.json
2018다47533,241113.json
2019다268252,211013.json
2018나58457,214513.json
2018다288723,219475.json
2013다31144,174112.json
2006다68810,85543.json
2002가단80187,69841.json
98다51091,191530.json
2022다206384,223319.json
2005나9790,78921.json
98다25061,195274.json
2005다16959,194015.json
2020다239045,241955.json
2001가합1092,69571.json
2021다229601,234647.json
